text,label
"What is the capital of Australia?",light
"Who wrote the play 'Romeo and Juliet'?",light
"What is the chemical formula for table salt?",light
"Translate 'good morning' to French.",light
"What is the value of pi to two decimal places?",light
"What is the largest mammal in the world?",light
"What year did the Titanic sink?",light
"What is the main function of the mitochondria?",light
"Write a Python function to calculate the factorial of a number.",light
"What is the currency of Japan?",light
"Who painted the Mona Lisa?",light
"What is the speed of light?",light
"What is the most spoken language in the world?",light
"What is the formula for calculating the area of a triangle?",light
"What is the capital of Canada?",light
"What is the name of the galaxy we live in?",light
"How many planets are in our solar system?",light
"What is the chemical symbol for gold?",light
"Who is the current president of the United States?",light
"What is the smallest prime number?",light
"What is the main component of Earth's atmosphere?",light
"What is the name of the longest river in Africa?",light
"What is the square of 15?",light
"What is the file extension for a JavaScript file?",light
"What is the opposite of 'happy'?",light
"Explain the concept of quantum entanglement in detail.",heavy
"Compare and contrast the economic policies of John Maynard Keynes and Friedrich Hayek.",heavy
"Write a detailed analysis of the causes and effects of the Industrial Revolution.",heavy
"Discuss the philosophical implications of determinism versus free will.",heavy
"Write a research paper on the impact of social media on mental health.",heavy
"Explain the architecture of a modern CPU and how it executes instructions.",heavy
"Analyze the symbolism and themes in the novel 'One Hundred Years of Solitude'.",heavy
"Design a comprehensive strategy for a country to transition to renewable energy sources.",heavy
"What are the ethical considerations and potential societal impacts of human cloning?",heavy
"Write a detailed tutorial on how to build a full-stack web application using React and Node.js.",heavy
"Debate the arguments for and against universal basic income.",heavy
"Explain the mechanisms of natural selection and its role in evolution.",heavy
"Summarize the history of the Byzantine Empire and its major contributions to civilization.",heavy
"How can artificial intelligence be used to address the challenges of climate change?",heavy
"Write a critical review of a recent scientific breakthrough in the field of medicine.",heavy
"Provide a detailed explanation of the different layers of the OSI model.",heavy
"What are the main challenges and opportunities for space exploration in the 21st century?",heavy
"Compose a musical piece that reflects the emotions of a person experiencing a great loss.",heavy
"Develop a business plan for a startup that aims to solve a major social problem.",heavy
"Explain the concept of game theory and its applications in economics and political science.",heavy
"Analyze the geopolitical implications of the rise of China as a global power.",heavy
"Write a comprehensive guide to investing in the stock market for beginners.",heavy
"Discuss the role of art and literature in shaping cultural identity.",heavy
"How can we create more sustainable and equitable food systems?",heavy
"Write a screenplay for a short film about a person who discovers a hidden talent.",heavy
"What is the capital of Australia?",light
"Who wrote the play 'Romeo and Juliet'?",light
"What is the chemical formula for table salt?",light
"Translate 'good morning' to French.",light
"What is the value of pi to two decimal places?",light
"What is the largest mammal in the world?",light
"What year did the Titanic sink?",light
"What is the main function of the mitochondria?",light
"Write a Python function to calculate the factorial of a number.",light
