id,prompt,classification
1,"What is the capital of Japan?",light
2,"Design a neural network architecture for image classification with hyperparameter tuning",heavy
3,"Name three primary colors (variation 10)",light
4,"Write a comprehensive 5000-word research paper on quantum computing applications in cryptography (variation 7)",heavy
5,"What is 100 minus 37? (variation 12)",light
6,"Write a thorough code review of a large codebase with refactoring suggestions (variation 4)",heavy
7,"Generate a full content marketing strategy with persona development and journey mapping (variation 11)",heavy
8,"Develop a full project management plan with Gantt charts, resource allocation, and risk analysis (variation 6)",heavy
9,"Generate a complete novel outline with character development, plot arcs, and world-building details (variation 10)",heavy
10,"Name a social media platform (variation 6)",light
11,"Create a comprehensive curriculum for a 6-month coding bootcamp with daily lesson plans (variation 12)",heavy
12,"What is the plural of 'mouse' (computer)? (variation 13)",light
13,"What is 100 minus 37? (variation 2)",light
14,"What color is a ruby? (variation 7)",light
15,"Design a distributed system architecture for handling millions of concurrent users (variation 3)",heavy
16,"Spell 'accommodate' (variation 10)",light
17,"What is 25 squared? (variation 13)",light
18,"Develop a complete data warehouse design with ETL processes and reporting (variation 10)",heavy
19,"Design a comprehensive data governance framework with policies and procedures (variation 9)",heavy
20,"Build a natural language processing model for sentiment analysis on social media data (variation 4)",heavy
21,"What is 3/4 as a decimal? (variation 9)",light
22,"Design a complete disaster recovery plan with backup strategies and failover procedures (variation 8)",heavy
23,"Translate 'hello' to Spanish (variation 6)",light
24,"Name a type of loop in programming (variation 4)",light
25,"What is the smallest prime number? (variation 13)",light
26,"Name a programming paradigm (variation 5)",light
27,"Develop a complete machine learning pipeline with data preprocessing, model training, and evaluation (variation 4)",heavy
28,"How many minutes in 2 hours?",light
29,"What is the chemical symbol for gold? (variation 7)",light
30,"What is 15% of 200? (variation 9)",light
31,"Build a computer vision system for object detection and tracking in videos (variation 6)",heavy
32,"Write a thorough code review of a large codebase with refactoring suggestions (variation 3)",heavy
33,"What is 3/4 as a decimal? (variation 13)",light
34,"Generate a comprehensive employee training program with assessments and certifications",heavy
35,"What does HTTP stand for? (variation 12)",light
36,"Name a renewable energy source (variation 6)",light
37,"What is the smallest prime number?",light
38,"Write a comprehensive 5000-word research paper on quantum computing applications in cryptography (variation 13)",heavy
39,"Create an extensive troubleshooting guide for a complex enterprise software system (variation 12)",heavy
40,"Design an enterprise-level microservices architecture with deployment strategies (variation 13)",heavy
41,"Explain photosynthesis in one sentence (variation 3)",light
42,"Name a programming paradigm (variation 8)",light
43,"What is the capital of France? (variation 6)",light
44,"Write a detailed scientific literature review on climate change impacts with 50+ citations (variation 12)",heavy
45,"Name a social media platform (variation 11)",light
46,"Write an extensive comparative market analysis across multiple geographic regions (variation 3)",heavy
47,"Define 'cloud computing' briefly (variation 6)",light
48,"Name three primary colors (variation 13)",light
49,"What is the smallest prime number? (variation 11)",light
50,"Create a comprehensive SEO strategy with keyword research and content optimization (variation 5)",heavy
51,"Name a major ocean (variation 7)",light
52,"What is the freezing point of water in Celsius? (variation 3)",light
53,"Create a complex financial model for mergers and acquisitions valuation (variation 12)",heavy
54,"Develop a complex simulation model for epidemic spread across populations (variation 5)",heavy
55,"Build a computer vision system for object detection and tracking in videos (variation 12)",heavy
56,"What is the freezing point of water in Celsius? (variation 8)",light
57,"Build a complex algorithm to optimize supply chain logistics across multiple warehouses (variation 9)",heavy
58,"What is the smallest prime number? (variation 7)",light
59,"Write a detailed scientific literature review on climate change impacts with 50+ citations (variation 2)",heavy
60,"Build a speech recognition system with accent adaptation and noise reduction (variation 10)",heavy
61,"Design a comprehensive data governance framework with policies and procedures (variation 8)",heavy
62,"Generate a detailed feasibility study for a large infrastructure project (variation 11)",heavy
63,"What is the square root of 144?",light
64,"Explain photosynthesis in one sentence",light
65,"Perform a deep financial analysis of a company's last 5 years with ratio analysis and forecasting (variation 13)",heavy
66,"What is the capital of France? (variation 13)",light
67,"Write a complete screenplay for a feature film with dialogue and scene descriptions (variation 5)",heavy
68,"Write a detailed scientific literature review on climate change impacts with 50+ citations (variation 8)",heavy
69,"Develop a detailed marketing strategy including SEO, content calendar, and multi-channel campaigns (variation 10)",heavy
70,"Translate 'hello' to Spanish (variation 10)",light
71,"Create a detailed business plan for a tech startup including market analysis, financial projections, and competitor research (variation 10)",heavy
72,"Develop a sophisticated fraud detection system using anomaly detection algorithms (variation 9)",heavy
73,"Design a distributed system architecture for handling millions of concurrent users (variation 4)",heavy
74,"Write an extensive technical documentation for a software system with architecture diagrams (variation 12)",heavy
75,"What is the boiling point of water? (variation 5)",light
